Torque vs Slip 
Slip
(N.m)
0	1.#QNAN0
0.001	1.#QNAN0
0.002	1.#QNAN0
0.003	1.#QNAN0
0.004	1.#QNAN0
0.005	1.#QNAN0
0.006	1.#QNAN0
0.007	1.#QNAN0
0.008	1.#QNAN0
0.009	1.#QNAN0
0.01	1.#QNAN0
0.012	1.#QNAN0
0.014	1.#QNAN0
0.016	1.#QNAN0
0.018	1.#QNAN0
0.02	1.#QNAN0
0.022	1.#QNAN0
0.024	1.#QNAN0
0.026	1.#QNAN0
0.028	1.#QNAN0
0.03	1.#QNAN0
0.035	1.#QNAN0
0.04	1.#QNAN0
0.045	1.#QNAN0
0.05	1.#QNAN0
0.055	1.#QNAN0
0.06	1.#QNAN0
0.065	1.#QNAN0
0.07	1.#QNAN0
0.075	1.#QNAN0
0.08	1.#QNAN0
0.09	1.#QNAN0
0.1	1.#QNAN0
0.11	1.#QNAN0
0.12	1.#QNAN0
0.13	1.#QNAN0
0.14	1.#QNAN0
0.15	1.#QNAN0
0.16	1.#QNAN0
0.17	1.#QNAN0
0.18	1.#QNAN0
0.19	1.#QNAN0
0.2	1.#QNAN0
0.21	1.#QNAN0
0.22	1.#QNAN0
0.23	1.#QNAN0
0.24	1.#QNAN0
0.25	1.#QNAN0
0.26	1.#QNAN0
0.27	1.#QNAN0
0.28	1.#QNAN0
0.29	1.#QNAN0
0.3	1.#QNAN0
0.31	1.#QNAN0
0.32	1.#QNAN0
0.33	1.#QNAN0
0.34	1.#QNAN0
0.35	1.#QNAN0
0.36	1.#QNAN0
0.37	1.#QNAN0
0.38	1.#QNAN0
0.39	1.#QNAN0
0.4	1.#QNAN0
0.41	1.#QNAN0
0.42	1.#QNAN0
0.43	1.#QNAN0
0.44	1.#QNAN0
0.45	1.#QNAN0
0.46	1.#QNAN0
0.47	1.#QNAN0
0.48	1.#QNAN0
0.49	1.#QNAN0
0.5	1.#QNAN0
0.51	1.#QNAN0
0.52	1.#QNAN0
0.53	1.#QNAN0
0.54	1.#QNAN0
0.55	1.#QNAN0
0.56	1.#QNAN0
0.58	1.#QNAN0
0.6	1.#QNAN0
0.62	1.#QNAN0
0.64	1.#QNAN0
0.66	1.#QNAN0
0.68	1.#QNAN0
0.7	1.#QNAN0
0.72	1.#QNAN0
0.74	1.#QNAN0
0.76	1.#QNAN0
0.78	1.#QNAN0
0.8	1.#QNAN0
0.82	1.#QNAN0
0.84	1.#QNAN0
0.86	1.#QNAN0
0.88	1.#QNAN0
0.9	1.#QNAN0
0.92	1.#QNAN0
0.94	1.#QNAN0
0.96	1.#QNAN0
0.98	1.#QNAN0
1	1.#QNAN0
Torque
